id,createdAt,textTranslated.en,rawPredictions,themeIdsReviewed,themeIdsSystem,themeIdsUser,themeIdsSystemFalseNegatives,themeIdsSystemFalsePositives,issueIdsReviewed,issueIdsSystem,issueIdsUser,issueIdsSystemFalseNegatives,issueIdsSystemFalsePositives,sentimentReviewed,sentimentSystem,sentimentUser,sentimentSystemFalseNegatives,sentimentSystemFalsePositives
e332459a-81ac-44c7-9a1c-74bf41322801,2023-09-20T21:16:23.455Z,"The presence of EG.5 or the sub-lineages of the coronavirus has been reported in Uganda, Egypt, Cape Verde, and South Africa, the Africa | The presence of EG.5 or the sub-lineages of the coronavirus has been reported in Uganda, Egypt, Cape Verde, and South Africa, the Africa | EG.5 COVID-19 variant spreads to South Africa, Uganda, two others - Punch Newspapers",,"case-reporting,variants","case-reporting,conspiracy","case-reporting,variants",variants,conspiracy,covid-19,covid-19,,,,neutral,neutral,,,
f791b8d1-c146-48fd-b948-716a166005a8,2023-09-20T21:16:19.984Z,Does not receiving the COVID 19 vaccine affect your daily interactions with the community? | COVID-19,,"stigmatization,rfi","vaccine-efficacy,vaccine-side-effects","stigmatization,rfi","stigmatization,rfi","vaccine-efficacy,vaccine-side-effects",covid-19,covid-19,,,,neutral,neutral,,,
69b63e43-c823-4331-a05f-4409ccc054c3,2023-09-15T14:58:57.629Z,"INSTANT MIRACLES (CONT’D) • Goiter has been healed! • One-year lumber spondylosis has been healed! • Teeth pain has been healed! • Back pain has been healed. • Pain on the leg was healed, after a prophetic word from Apostle Joshua Selman. • Hepatitis and ulcer were healed, during the prayer session! • Serial headache and nasal congestion since 2012 have been miraculously healed during the prayer session. • Asthma has been miraculously healed. •A miracle job has just been confirmed, following a phone call. #ApostleJoshuaSelman #August2023MiracleService #KoinoniaAbuja #KoinoniaGlobal",,"alternative-cures,religious-practices","case-reporting,rfi,alternative-cures,symptoms-severity,religious-practices","alternative-cures,religious-practices",,"case-reporting,rfi,symptoms-severity",hepatitis,,hepatitus,hepatitis,,neutral,negative,neutral,neutral,negative
5a9c9bf5-4a27-4906-8875-c2c7714d6aa3,2023-09-20T21:16:24.294Z,"TREATMENT OF HEPATITIS Liver disease is a disease that is common at this time. If you are suffering from this disease, don't take this advantage and play with both hands, God will stop it. REMEDY 1. Get 10 spoons of hemp flour 2. 5 spoons of Sidr flour 3. 5 spoons of tin flour 4. 10 spoons of watermelon peel flour 5. 1 spoons of Citta flour 6. 1 spoons of garlic flour 7. 5 spoons of Hidal flour 8. Zogale flour 3 spoons 9. Flour 10. Garin baure 5 spoons 11. Doddoya scent leaf flour 5 spoons. Two months, God willing, he will recover. Anyone who hears this message should try to share it with the community because many people are suffering from anthrax. May God bless us, Ameen. Khalifa herbal medicine and marriage counseling. 07067344494 08083389761 | Photos from GIDAN Magani's post",,"alternative-cures,religious-practices","alternative-cures,rfi","alternative-cures,religious-practices",religious-practices,rfi,"anthrax,hepatitis",anthrax,"anthrax,hepatitus",hepatitis,,negative,negative,,,
3df7e2f0-d2c4-464e-9ebb-32737061dca0,2023-09-25T14:12:30.264Z,"NGETWA 3 Herbal Medicine. 
This is a HERBAL powder is for ""EVERYONE"" who want to prevent and get rid of
+256706152279 WhatsApp. 
+256778230223 
+256764174762 mtn number. 
📌 Allergies and Skin Disease
📌 Bones-Joins and Muscle Pains
📌 Malaria 
📌Kidney and Heart Diseases 
📌Round worms 
📌Yellow Fever 
📌Diarrhoea 
📌Flu 
📌Pain while urinating 
📌Constipation 
📌Typhoid Fever 
📌Bronchitis and Throat Disease
📌Period Pains
📌Hiccups
📌Heartburn
📌Asthma
📌Measles 
📌Migraine Headaches, 
📌Whooping Cough, 
📌Chicken Pox, Boils and Gastric Ulcers....just to mention a few
This powder is also a Natural Antibiotic, Antioxidant, Antifungal and it Enhances and boost your Body Immune System. 
To get more info online Google for Ngetwa 3 Herbal medicine
Delivery for those outside Uganda can be arranged",,alternative-cures,"rfi,alternative-cures,prevention-individual",alternative-cures,,"rfi,prevention-individual",,,,,,negative,negative,,,
0874ef4c-b484-4cc4-8ee9-169ed3896e9d,2023-09-25T14:34:13.646Z,"Urgent 🥺
An epidemic of Dengue is on the way, according to Dr. Abdoul Aziz Ouédraogo.
May God protect us all.
🙏",,"case-reporting,religious-practices","rfi,case-reporting,alternative-cures,prevention-collective,religious-practices","case-reporting,religious-practices",,"rfi,alternative-cures,prevention-collective",dengue,dengue,,,,neutral,negative,neutral,neutral,negative
4238f52a-d025-4bb2-ae38-84fa2141ace6,2023-09-25T14:31:59.440Z,How is it manifested?,,rfi,conspiracy,rfi,rfi,conspiracy,dengue,,dengue,dengue,,neutral,neutral,neutral,,
0cace6c4-34d7-4266-9dc3-b58aa0092d16,2023-09-25T14:27:34.214Z,Malaria: The CES reflects on the introduction of the vaccine and genetically modified mosquitoes,,"vaccine-efficacy,treatment,capacity","vaccine-side-effects,case-reporting,variants,conspiracy","vaccine-efficacy,treatment,capacity","vaccine-efficacy,treatment,capacity","vaccine-side-effects,case-reporting,variants,conspiracy",malaria,malaria,,,,neutral,neutral,neutral,,
c11712ef-82cd-4251-96fc-1a5aa57e6aea,2023-09-20T21:16:22.213Z,“I Am HIV Positive And I Will Spread It Round Lagos” — Nigerian Lady Resident In Ikorodu Vows,,"symptoms-severity,case-reporting","conspiracy,symptoms-severity,stigmatization,variants,alternative-cures,case-reporting","symptoms-severity,case-reporting",,"conspiracy,stigmatization,variants,alternative-cures",hiv,hiv,,,,negative,negative,,,
9101c0f1-2f6b-4cd8-9927-b173f905ff9f,2023-09-20T21:12:29.950Z,🔴 It will no longer be mandatory for a person testing positive for Covid-19 to self-confine for a period of seven days. The duration will now be determined by a registered medical practitioner. Decision taken by the Council of Ministers this Friday. More info below:,,"rfi,case-reporting,prevention-collective","rfi,case-reporting","rfi,case-reporting,prevention-collective",prevention-collective,,covid-19,covid-19,,,,neutral,positive,neutral,neutral,positive
4459aa74-7c3f-4d83-8fd1-f2954468cb97,2023-09-27T04:12:29.219Z,do I need a vaccine for HPV ,,"rfi,alternative-cures,conspiracy,prevention-collective,vaccine-efficacy","rfi,alternative-cures,conspiracy,prevention-collective,vaccine-efficacy",,,,hpv,hpv,,,,neutral,neutral,,,
fc59ad32-e18b-4ce7-bc42-de2dc34f48b9,2023-09-20T21:09:34.994Z,"""I used to be a driver in a big company. Back then when the company was doing well, they were very generous to their staff. The pay was very good compared to other places and we also got a lot of bonuses and allowances. Sometimes, you may not have to use your salary at the end of the month because the other allowances would take care of your daily bills. I quickly joined a cooperative where we contributed a percentage of our salary and the bulk sum was paid to us at the end of the year. The first bulk sum I received, I used it to set up a block industry which my wife manages. Gradually, we added sale of cement to it. Because of that saving, I was also able to put my children through good schools. When Covid came, the company decided to downsize and I was among the unlucky ones. What saved me was the business I had established. Thank God my wife is a good woman and has been managing the business well. At first, I had wanted to look for another job, but I am no longer young and will not be able to work as efficiently as before. I decided to register my car with a car hailing service instead. These are difficult times, especially with the fuel crisis, but overall, I can say it's been good. I keep myself active, I also bring in money home daily and my business is still moving on well. "" The Humans of Abuja #PortHarcourt",,prevention-collective,"prevention-individual,prevention-collective,stigmatization,symptoms-severity",prevention-collective,,"prevention-individual,stigmatization,symptoms-severity",covid-19,covid-19,,,,neutral,neutral,,,
75e50965-4969-41e9-8f7a-5bd0c170117e,2023-09-20T21:09:36.200Z,"New COVID Variants Ravaging South Korea, UK, Others, Caused 1800 Deaths In One Month – WHO | Sahara Reporters https://bit.ly/3qVAwu7:=:https://saharareporters.com/2023/09/02/new-covid-variants-ravaging-south-korea-uk-others-caused-1800-deaths-one-month-who | World Health Organization",,"case-reporting,variants","conspiracy,case-reporting","case-reporting,variants",variants,conspiracy,covid-19,,covid-19,covid-19,,neutral,negative,neutral,neutral,negative
808d6c12-0967-43ea-be26-01b049171e3a,2023-09-20T21:09:38.860Z,...It's like this CULTISM is also a scam oh🤔 Cos how can malaria kill 001?😩 #Sweee!!,,"conspiracy,corruption","conspiracy,stigmatization,media-bias,corruption,religious-practices","conspiracy,corruption",,"stigmatization,media-bias,religious-practices",malaria,malaria,,,,negative,negative,,,
38435fa1-b36a-4137-9f18-17577b38586b,2023-09-27T10:31:15.383Z,The COVID vaccine turns your hair blue,,vaccine-side-effects,"vaccine-side-effects,vaccine-efficacy,rfi,conspiracy,prevention-collective,treatment",vaccine-side-effects,,"vaccine-efficacy,rfi,conspiracy,prevention-collective,treatment",covid-19,covid-19,,,,negative,negative,,,
8af93253-1a4c-4909-8b3b-2ccb7b6c4dcb,2023-09-27T10:54:22.947Z,Dogs vaccinated with rabies vaccine do not bark,,vaccine-side-effects,"vaccine-side-effects,vaccine-efficacy,rfi,conspiracy,prevention-collective,alternative-cures,treatment",vaccine-side-effects,,"vaccine-efficacy,rfi,conspiracy,prevention-collective,alternative-cures,treatment",rabies,rabies,,,,negative,neutral,negative,negative,neutral
8cac9620-5adc-4955-884f-1607303b0a89,2023-09-20T21:09:33.506Z,"#ICYMI: German engineering company, Siemens Energy, has disclosed that the revamp of the power framework within Nigeria will take five years more than its earlier expected date of completion.  | According to the energy company, the delay is due to the effects of the COVID-19 pandemic. | Nigeria’s Electricity Infrastructure Overhaul To Take Five More Years, Says Siemens",,prevention-collective,"case-reporting,prevention-collective,rfi,symptoms-severity,conspiracy,alternative-cures",prevention-collective,,"case-reporting,rfi,symptoms-severity,conspiracy,alternative-cures",covid-19,covid-19,,,,negative,negative,,,
f417c03d-fe3e-4e5a-838e-d0b0062d1dd8,2023-09-20T21:09:32.943Z,"By God, President Tinubu is a son of the North, he will never start thinking of fighting Niger - Sheikh Assadus Sunnah has opened fire again * * * EFFECTIVE HIV MEDICINE (HIV) The largest Islamic medical center that is Kashful Aleel, they definitely provide treatment for HIV and it is cured. , which there are many witnesses who confirm that this center provides HIV treatment. There are 3 people in Sokkoto who have recovered from this disease because of receiving their treatment, there are four people in Kano, there is one person in Maiduguri and many others who have recover from this disease. Kashful Aleel Center, there is no doubt that they provide effective treatment for HIV AIDS and it is cured and many people have been cured from this disease. Anyone who wants to own this HIV treatment should dial the following numbers 👇🏻 Call: 09032242359 Call: 09032242359 Click here to speak directly with Dr. Abdallah Yunus via WhatsApp on this number: http://Wa.me/+2347040305880:=:http://wa.me/+2347040305880 KASHFUL ALEEL ISLAMIC MEDICINE CENTER. | Assadus Sunnah Opened Tinubu on Niger War",,"treatment,religious-practices","rfi,treatment,case-reporting,religious-practices,symptoms-severity","rfi,treatment,religious-practices",,"rfi,case-reporting,symptoms-severity",hiv,,hiv,hiv,,positive,positive,positive,,
ae15a1a3-b101-400b-a27f-b2711fb34e17,2023-10-04T03:29:42.419Z,"I have just experienced this illness in my child, it is painful, I assure you, but God has given grace in all of this.","{""field"":""sentiment"",""confidence"":""0.7"",""id"":""neutral"",""label"":""neutral""},[{""field"":""themeIds"",""confidence"":0.82,""id"":""rfi"",""label"":""request for help or information, request for medical explanation""},{""field"":""themeIds"",""confidence"":0.82,""id"":""case-reporting"",""label"":""Case Reporting""},{""field"":""themeIds"",""confidence"":0.7,""id"":""alternative-cures"",""label"":""alternative cures, herbal remedies, home remedies, healers and healing""},{""field"":""themeIds"",""confidence"":0.5,""id"":""symptoms-severity"",""label"":""Symptoms, Transmission & Severity""},{""field"":""themeIds"",""confidence"":0.34,""id"":""vaccine-side-effects"",""label"":""Vaccine Side Effects""},{""field"":""themeIds"",""confidence"":0.32,""id"":""religious-practices"",""label"":""religious belief, religious leaders, cultural practices""},{""field"":""themeIds"",""confidence"":0.25,""id"":""variants"",""label"":""disease variants, disease genetic modifications""},{""field"":""themeIds"",""confidence"":0.2,""id"":""prevention-collective"",""label"":""collective prevention, lockdowns, travel bans, travel restrictions""},{""field"":""themeIds"",""confidence"":0.14,""id"":""treatment"",""label"":""pharmaceutical treatment, clinical treatment, pills""}]","case-reporting,religious-practices","rfi,case-reporting","case-reporting,religious-practices",religious-practices,rfi,measles,,measles,measles,,neutral,neutral,,,
35bd01c9-750c-4b5c-8c0a-4cd77a22f234,2023-09-15T14:58:56.510Z,"46 YEARS OF EXCRUCIATING PAIN GONE! This is the glorious moment four decades of terrible pain came to an end in one supernatural encounter... Gabriella from Hungary had lived a life of tortuous pain, emanating from tuberculosis of the spine. Her days started in tears due to severe pain in her legs, hips and spine as a result of the ailment, which had defied all medical treatment. Be blessed as you witness the miraculous encounter at The Synagogue, Church Of All Nations (SCOAN) in Lagos, Nigeria which replaced her tears of pain with tears of joy! ""Jesus never stops giving us reasons to praise His holy name."" - TB Joshua | This is the glorious moment four decades of terrible pain came to an end in one supernatural encounter... Gabriella from Hungary had lived a life of tortuous... | 46 YEARS OF EXCRUCIATING PAIN GONE!",,religious-practices,"case-reporting,symptoms-severity","religious-practices,alternative-cures",religious-practices,"case-reporting,symptoms-severity",tuberculosis,tuberculosis,,,,neutral,negative,neutral,neutral,negative
cdb43c91-ae8b-46d8-a8ba-79bd19c83fa2,2023-09-15T14:58:51.365Z,"BODILY BURDEN OF SEVEN YEARS LIFTED BY THE ANOINTING! On August 27, 2023, God Almighty manifested Himself powerfully in the life of Ngozi as she received prayer in The Arena Of Liberty. She had come to church using crutches and a lumbar corset, her body burdened by pain for the past seven years. For a long time, she kept using drugs and subjecting herself to all forms of treatment. Tired of trying to help herself, she had made her way to church in faith. “When the woman of God touched me, I felt something leave my body and since then I have not needed my walking aids,” Ngozi said while demonstrating her healing a week later. She advised people to take their issues to God. Her husband, Salvation, admitted his previous skepticism about miracles but glorified God for showing him the light. | Photos from TB Joshua Ministries's post",,"religious-practices,alternative-cures","rfi,treatment,case-reporting","treatment,religious-practices,alternative-cures","religious-practices,alternative-cures","rfi,treatment,case-reporting",unknown,,unknown,unknown,,negative,negative,,,
65594eba-c64b-4a2e-9ede-dbde09df4007,2023-09-15T14:58:48.629Z,"Pineapple is sweet and tangy, but do you know that it also offers a host of health benefits? In this writeup, I'll explore 7 ways that eating pineapple can be good for your body. #1 Pineapple is rich in Nutrients especially Vit B6 and Vit C #2 Pineapple contains bromelain, an enzyme that has anti-inflammatory properties. This can be beneficial for conditions like arthritis, asthma, and other inflammatory conditions. #3 Consuming Pineapple eases symptoms of digestive issues like bloating, constipation, and diarrhea. #4 Pineapple boosts the immune system because it is super rich in Vitamin C. #5 Pineapple contains beta-carotene, a nutrient that is essential for good eye health. Beta-carotene is converted into vitamin A in the body, which is necessary for maintaining healthy eyesight. #6 Aids weight loss because it is low in calories and high in fiber. #7 Pineapple may reduce your risk of cancer. The antioxidants and enzymes in it can help protect against cancer by reducing inflammation and cell damage caused by free radicals. Extra: Pineapple speeds up recovery after surgery In conclusion, eating pineapple is not only a delicious way to satisfy your sweet tooth, but it can also offer a range of health benefits. You may seriously want to consider adding it to your diet.",,"prevention-individual,alternative-cures","prevention-individual,alternative-cures",,,,,,,,,neutral,positive,neutral,neutral,positive
002ec807-e35a-44a3-aaab-4229c6d5a577,2023-09-15T14:58:50.198Z,"Hi good evening ma I have an issues.. A guy messed with me, because I was so emotional attached to him.. so he used that as an opportunity to get his way.. when he came visiting After everything, he said he's not ready for relationship Okay.. here's the gist, I bought a positive hiv blood, prepared it with his meals which i gave it to him, and he ate.. I don't know if he has been affected already But I feel very bad for my actions now What can i do to solve this matter now Please hide my identity",,rfi,"rfi,case-reporting,stigmatization,conspiracy",rfi,,"case-reporting,stigmatization,conspiracy",hiv,hiv,,,,negative,negative,,,
43b062bf-8a7f-49e8-a081-c4b892c57f22,2023-09-15T14:58:41.278Z,"Here is Fisabilillahi Help to protect your health and reduce financial losses 1- If you want to treat Dankanoma, Bagaruwa tea or its leaves are enough for you 2- if you want to get rid of malaria, tea of sorghum leaves, lemon leaves, half of Shuwaka leaves, or papaya is enough for you 3- if you want to remove the dirt from the stomach and wash your kidneys (kidneys) with mango leaf powder and lemon or apple 4 if you want to get rid of bad breath mint tea mixed with lemon or Honey 5- if you really want Kuzari without stopping Energy Drinks or male enhancement pills, then chew two Male Nuts, 7 dates and drink coconut water here 6- If you want to treat mosquito bites, get orange peel and onion, you can put them in a sieve and put them in a funnel for a day before you spray them, or you can turn them into powder so that you put them on top of coals and the smoke will rise and all the mosquitoes will die or leave. 7-If you want to treat Hawa blood, Kasha Shayin Garin habbatus Sauda da Citta and Garin Tafarnuwa) reduce your thinking, avoid white sugar in food, drink energy drinks, avoid soda drink, and salt that is not burned in food 8- If you want to treat liver disease Hepatitis, stop sugarcane a lot and eat cucumber 9-If you want to get rid of stress, depression, listen to the recitation of the Quran 10-If you want to treat demons or drive them out of your house or someone else's body, stop drinking traditional tea, and Smoke the leaves of Naana'a, a demon or a demon, no matter how strong they are, they will leave because they don't like the smell of it just like we don't like the smell of bones. Photos from Sha Kuji Dadi's post",,"alternative-cures,religious-practices,prevention-individual","alternative-cures,religious-practices,prevention-individual,rfi","alternative-cures,religious-practices,prevention-individual",,rfi,malaria,malaria,,,,neutral,negative,neutral,neutral,negative
dbc23516-059e-4e24-9e3a-d9db7ce1b9e8,2023-09-15T14:58:40.556Z,These 7 diseases & conditions will leave you and your family gene TONIGHT as I TACKLE THIS NIGHT AGAIN IN PRYAER 1. High blood pressure and diabetes 2. Liver disease 3. Hiv/AIDS 4. chronic poverty syndrome 5. Mental depression and insanity 6. Barrenness and infertility 7. Terrible and unsolvable infections and inflammation,,"alternative-cures,religious-practices","rfi,symptoms-severity,stigmatization,case-reporting,variants,conspiracy","alternative-cures,religious-practices","alternative-cures,religious-practices","rfi,symptoms-severity,stigmatization,case-reporting,variants,conspiracy",hiv,hiv,,,,neutral,negative,neutral,neutral,negative
71fda558-673a-4ada-a406-5efb4521b649,2023-09-15T14:58:38.201Z,"Remember this declaration I made ""God will turn you- an ordinary person to a person of royalty. You will live and see the end of the virus"". We saw Covid-19 and we are still here. Therefore, every setback shall set you up for a miracle.",,religious-practices,"religious-practices,case-reporting",religious-practices,,case-reporting,covid-19,covid-19,,,,positive,positive,,,
2941b262-852a-4d5f-bd16-39385cd5fc52,2023-09-15T14:58:46.203Z,"Hajiya Naja'atu criticizes Tinubu, ECOWAS and France over the rise of war in Niger - Part 1 (Interview with Hajiya Naja'atu Bala Muhammad and Shuaibu Mungadi on Farin Wata TV Abuja) Here is the full video of her interview: 👉 https://youtu.be/4CGmiu2mc9U:=:https://www.youtube.com/watch?v=4CGmiu2mc9U ** * * EFFECTIVE HIV TREATMENT (HIV) Great medical center of Islam that is Kashful Aleel, they certainly give treatment for AIDS and it is cured, which there are many witnesses who confirm that this center provides HIV treatment. In Kano, there is one person in Maiduguri and many others who have recovered from this disease. Kashful Aleel Center is definitely providing effective treatment for HIV AIDS and it is being cured and many people have been cured from this disease. he designed these numbers below 👇🏻 Call: 09032242359 Call: 09032242359 Click here to speak directly with Dr. Abdallah Yunus via WhatsApp on this number: http://Wa.me/+2347040305880 KASHFUL ALEEL ISLAMIC MEDICINE CENTER. | Hajiya Najaatu's opinion on Niger's coup - 01",,"treatment,religious-practices","treatment,rfi,case-reporting,bioweapon,alternative-cures,prevention-collective,conspiracy,religious-practices,corruption,stigmatization","treatment,religious-practices",,"rfi,case-reporting,bioweapon,alternative-cures,prevention-collective,conspiracy,corruption,stigmatization",hiv,,hiv,hiv,,neutral,negative,neutral,neutral,negative
