id,textTranslated.en,themeIdsReviewed,themeIdsSystem,themeIdsUser,themeIdsSystemFalseNegatives,themeIdsSystemFalsePositives,issueIdsReviewed,issueIdsSystem,issueIdsUser,issueIdsSystemFalseNegatives,issueIdsSystemFalsePositives,sentimentReviewed,sentimentSystem,sentimentUser,sentimentSystemFalseNegatives,sentimentSystemFalsePositives
3efdad7a-0aac-4295-9e73-9ec30cea6cf6,COVID Is Back And It's Deadlier Than Before; Wear Double Face Masks —Nigerian Hospital Memo Reveals | Sahara Reporters https://bit.ly/3qLZyff:=:https://saharareporters.com/2023/08/25/covid-back-and-its-deadlier-wear-double-face-masks-nigerian-hospital-memo-reveals | Photos from Sahara Reporters's post,"conspiracy,rfi","conspiracy,rfi","conspiracy,rfi",,,covid-19,,covid-19,covid-19,,negative,negative,,,
2edf9942-1284-4f9d-ad6b-00785c37edaf,"Di§turbing video of an HIV positive lady disclosing what she will do to the opposite g£nder in Ikorodu, Lagos",stigmatization,"conspiracy,rfi,case-reporting,stigmatization,variants,media-bias,alternative-cures","stigmatization,media-bias",,"conspiracy,rfi,case-reporting,variants,media-bias,alternative-cures",hiv,hiv,,,,negative,negative,,,
ded0368c-5cf5-4df0-a20f-4aa7eb1f3ffa, | Papa why are u telling everybody that u have HIV AIOS instead of cancer? Well because don't want anybody to touch ur mother after my death Spyplaprar,stigmatization,"conspiracy,stigmatization,media-bias,rfi,variants,prevention-collective,corruption",stigmatization,,"conspiracy,media-bias,rfi,variants,prevention-collective,corruption",hiv,hiv,,,,negative,negative,,,
6be8211d-33aa-4b88-a245-6828cb58fb4f,“I Am HIV Positive And I Will Spread It Round Lagos” — Nigerian Lady Resident In Ikorodu Vows | #IgbereTV,"symptoms-severity,media-bias","conspiracy,symptoms-severity,stigmatization,variants,case-reporting,alternative-cures,rfi,media-bias","symptoms-severity,media-bias",,"conspiracy,stigmatization,variants,case-reporting,alternative-cures,rfi",hiv,hiv,,,,negative,negative,,,
17897e20-b639-4e43-affd-4cb364576606,"DID YOU KNOW? ( 7 WONDERFUL FOOD KNOWLEDGE ) ➖➖➖➖➖➖➖➖➖➖➖➖➖➖ 1. A company in Taiwan makes Dinnerware (plate) out of Wheat, so you can eat your plate after you are done with your meal. (Great initiative) 2. You can eat 24 karat Gold without falling ill. As pure Gold is chemically inert (inactive), it will pass through the body and will get eliminated as waste. (Great scientific knowledge) 3. Joe Metheny, the in famous serial killer from Baltimore, not only cooked his victims to eat himself, he also made Burgers with their remains and sold them to unsuspecting customers from a roadside food stand. (Very horrible and shocking) 4. If you make Ice Cubes with Tap water, they will be white, and if you use Boiled water, it will be transparent. (Wonderful knowledge) 5. The Ice Cream you see in ""ice cream"" advertisement (ads) is actually mashed potatoes, because they will not melt during the production. (Wonderful idea) 6. A new study said that the bacteria that cause decay, acne, tuberculosis and leprosy can be killed off by eating cashews. (Wonderful research) 7. Subway (An American fast food restaurant) is offering lifetime free sandwiches, if you change your name to ""Subway"". (Great initiative) | SUBWAY Subway is offering Lifetime Free Sandwiches if you change your name to ""Subway"". | Photos from Research and Creative Kitchen's post",alternative-cures,"medical-exploitation,bioweapon",alternative-cures,alternative-cures,"medical-exploitation,bioweapon",tuberculosis,tuberculosis,tuberculosis,,,positive,positive,,,
4455532f-ad4e-4d18-a175-3c7f12c01b0f,"End to malaria, typhoid and hapatitis B 08120004412",alternative-cures,"prevention-collective,conspiracy,rfi,alternative-cures",alternative-cures,,"prevention-collective,conspiracy,rfi","malaria,typhoid,hepatitus","malaria,typhoid","malaria,typhoid,hepatitus",hepatitus,,neutral,neutral,,,
65594eba-c64b-4a2e-9ede-dbde09df4007,"Pineapple is sweet and tangy, but do you know that it also offers a host of health benefits? In this writeup, I'll explore 7 ways that eating pineapple can be good for your body. #1 Pineapple is rich in Nutrients especially Vit B6 and Vit C #2 Pineapple contains bromelain, an enzyme that has anti-inflammatory properties. This can be beneficial for conditions like arthritis, asthma, and other inflammatory conditions. #3 Consuming Pineapple eases symptoms of digestive issues like bloating, constipation, and diarrhea. #4 Pineapple boosts the immune system because it is super rich in Vitamin C. #5 Pineapple contains beta-carotene, a nutrient that is essential for good eye health. Beta-carotene is converted into vitamin A in the body, which is necessary for maintaining healthy eyesight. #6 Aids weight loss because it is low in calories and high in fiber. #7 Pineapple may reduce your risk of cancer. The antioxidants and enzymes in it can help protect against cancer by reducing inflammation and cell damage caused by free radicals. Extra: Pineapple speeds up recovery after surgery In conclusion, eating pineapple is not only a delicious way to satisfy your sweet tooth, but it can also offer a range of health benefits. You may seriously want to consider adding it to your diet.","prevention-individual,alternative-cures","prevention-individual,alternative-cures",,,,,,,,,neutral,positive,neutral,neutral,positive
71fda558-673a-4ada-a406-5efb4521b649,"Remember this declaration I made ""God will turn you- an ordinary person to a person of royalty. You will live and see the end of the virus"". We saw Covid-19 and we are still here. Therefore, every setback shall set you up for a miracle.",religious-practices,"religious-practices,case-reporting",religious-practices,,case-reporting,covid-19,covid-19,,,,positive,positive,,,
c1d06261-f158-4ef1-af00-39fe328101d7,You have no AIDS❌ You have no Cancer❌ You have no Diabetes❌ You have no Disability❌ Why don't you tell God thanks🥺🙏💯,,"rfi,alternative-cures",,,"rfi,alternative-cures",hiv,,hiv,hiv,,positive,positive,,,
70e553e0-b36a-458a-a1bb-5524808ea4c5,"INFLAMMATORY DISEASES SUFFERERS 👇👇👇 1. Asthma 2. Ulcer 3. Arthritis 4. Bronchitis 5. Pneumonia 6. Hemorrhoids/piles 7. Tuberculosis, etc Can I walk us across this bridge, Africans? We are going to put our hands in mine and am going to walk us out of this captivity, across this bridge. What do you need to do? 1. Trace the wrong lifestyles you practise 2. Stop them 3. Detoxification 4. Never return to your vomit For Nigerians, Get your turmeric from hausa men, in your local market ( avoid packaged turmeric please ). Watch video for remaining details. If you need Ndcl's guidance on your healing journey, from beginning to the end, my consultant Chike, is waiting for you on whatsapp via the WhatsApp button attached to this post ( not free this time please ).",alternative-cures,"rfi,alternative-cures,prevention-individual,case-reporting,medical-exploitation",alternative-cures,,"rfi,prevention-individual,case-reporting,medical-exploitation",tuberculosis,tuberculosis,tuberculosis,,,negative,negative,,,
8a3f2d40-10b6-4044-867e-13bd26023ff7,"Caregivers play a crucial role in preventing and treating malaria. By using insecticide-treated bed nets and seeking prompt medical attention for fever cases, caregivers can protect their families from malaria. Sleep inside a mosquito net every night to prevent malaria. #ZeroMalariaStartsWithMe #ActNow #ActAgainstMalaria | Photos from Breakthrough ACTION-Nigeria's post",prevention-individual,"rfi,bioweapon,prevention-collective,case-reporting,capacity,alternative-cures","prevention-individual,treatment,prevention-collective",prevention-individual,"rfi,bioweapon,prevention-collective,case-reporting,capacity,alternative-cures",malaria,malaria,,,,neutral,positive,neutral,neutral,positive
bd15b800-2633-428b-81e0-be0f5b716210,"He said they did about five tests.. The post is for an HIV patient. | Why not try another hospital 13:29 At least 3 tests and see 11:29� We tested about five times, all showed the same You 13:32 Where do I find her? By God, I don't know.. and I don't suspect her truth. 13:33 The power of God 14:12✓ Then God is a gift 14:12✓",,"rfi,case-reporting",,,"rfi,case-reporting",hiv,hiv,,,,neutral,neutral,,,
0018ce60-d0cf-4429-885b-3073821fcd6e,"Actually, the term “toilet infection” or “toilet disease” is non-medical. It is a layman’s word to describe the burning sensation, itching and foul smelling discharges associated with vulvovaginitis. It is termed “toilet infection” because people believe it originates from the use of dirty toilets but this is not true. What is called “Toilet infection” is actually VULVAVAGINITIS; and it presents in different forms including, candidiasis, trichomoniasis, bacteria vaginitis, gonorrhea, clamydia, childbirth allergic reactions, viruses like HPV etc Don't blame the toilet! The key culprits are pH imbalance, reduced estrogen levels after menopause and habits like having multiple sex partners or not using condoms, improper washing or wearing of damp underwear etc Let's shift our focus to healthier practices for a happier, more comfortable life. Good morning friends! 🌟 #VaginaHealth #HealthyHabits #WellnessJourney #askpharmedward | ‎'‎1-1 Lefure knhing thatDirng ل ២ Ask Pharm. Edward @AskPharmEdwarc There is nothing like Toilet infection! R FOLLOW Ask Pharm. kPharm.Edward Edward‎'‎","symptoms-severity,prevention-individual","rfi,case-reporting","symptoms-severity,prevention-individual","symptoms-severity,prevention-individual","rfi,case-reporting","trichomoniasis,gonorrhea,hpv,chlamydia","trichomoniasis,gonorrhea,hpv","trichomoniasis,gonorrhea,hpv,chlamydia",chlamydia,,positive,positive,,,
33207838-0dcf-49b7-8c6a-487c966965c5,"Who will tell us why this student fell from hearing this news? | A student at the university cut her body and fainted after she got the news that her teacher was killed by AIDS. The student, who is believed to be the teacher's girlfriend, said after learning that. The teacher is infected with HIV. | How a university student fell to the ground after learning that her teacher had HIV - APA Hausa",stigmatization,"rfi,case-reporting,conspiracy,stigmatization",stigmatization,,"rfi,case-reporting,conspiracy",hiv,hiv,,,,negative,negative,,,
233498d2-f7ff-427c-98aa-1afc83f94478,"People eating animal skin popularly called kpomo are vulnerable to anthrax and other zoonotic ailments. | People eating animal skin popularly called kpomo are vulnerable to anthrax and other zoonotic ailments. Aja Nnadi, a veterinarian and retired professor of | Eating 'Kpomo' Dangerous To Health, Expert Cautions Nigerians – The Whistler Newspaper",symptoms-severity,"rfi,case-reporting,conspiracy,stigmatization",symptoms-severity,symptoms-severity,"rfi,case-reporting,conspiracy,stigmatization",anthrax,anthrax,,,,negative,negative,,,
df1f78dd-b8a5-4b24-910b-bea6e818c80c,"Please help if you can! | 9:00 AM Assalamualaikum I'm sleeping and working pls hide my ID. Son of God, ask my classmates if there are people with hepatitis B who took some medicine and got cured or if it is because they are not cured. I'm so tired of taking medicines from European to traditional medicine. pls keep me anonymous. Thank you","rfi,treatment,alternative-cures","rfi,case-reporting,conspiracy,treatment,stigmatization,alternative-cures,medical-exploitation,prevention-collective,prevention-individual,capacity,religious-practices,corruption","rfi,treatment,alternative-cures",,"case-reporting,conspiracy,stigmatization,medical-exploitation,prevention-collective,prevention-individual,capacity,religious-practices,corruption",hepatitus,,hepatitus,hepatitus,,negative,negative,,,
002ec807-e35a-44a3-aaab-4229c6d5a577,"Hi good evening ma I have an issues.. A guy messed with me, because I was so emotional attached to him.. so he used that as an opportunity to get his way.. when he came visiting After everything, he said he's not ready for relationship Okay.. here's the gist, I bought a positive hiv blood, prepared it with his meals which i gave it to him, and he ate.. I don't know if he has been affected already But I feel very bad for my actions now What can i do to solve this matter now Please hide my identity",rfi,"rfi,case-reporting,stigmatization,conspiracy",rfi,,"case-reporting,stigmatization,conspiracy",hiv,hiv,,,,negative,negative,,,
ee800fb3-6fdc-409e-a978-e781a616afec,"Cold don enter my body!🥶 | send me anonymous messages! Untamed saw your post about sugar daddies. I'm a Jos girl, schooling in KD. My test results came in yesterday and I'm HIV positive. The thing is I had sex with a married man in KD, he's popular, you might know him. How do I tell him so he does not infect his wife too? Help me. I'm depressed.",symptoms-severity,"rfi,conspiracy,case-reporting,stigmatization,symptoms-severity","stigmatization,symptoms-severity",,"rfi,conspiracy,case-reporting,stigmatization",hiv,hiv,,,,negative,negative,,,
4e964ead-99e2-4f87-a137-a23efa6e1672,"May God keep protecting us in Jesus name. | Some Warri kids were asked to write down 3 deadly diseases. One boy wrote: 1. AIDS 2.Cancer 3./ Teacher: What disease is this/? I? Student: Shuo, you nor know stroke again?",,"rfi,stigmatization",,,"rfi,stigmatization",hiv,,hiv,hiv,,neutral,neutral,,,
45fa2914-04da-408e-876e-eb31f44c3ffd,"The devulll has a way of working. Pesin will just be going their way, minding their business, focusing on life and subsidy removal... And boom! A fine boy will appear to turn their head oniniown 🥺 Dear Doctor Ehi, for your sake, I wan dey get malaria everyday 🥺🥺🥺🥺😫😫😫😫😫 | Photos from Eshi Ayo's post",,"rfi,stigmatization,conspiracy,capacity,vaccine-side-effects",,,"rfi,stigmatization,conspiracy,capacity,vaccine-side-effects",malaria,malaria,,,,neutral,neutral,,,
dbc23516-059e-4e24-9e3a-d9db7ce1b9e8,These 7 diseases & conditions will leave you and your family gene TONIGHT as I TACKLE THIS NIGHT AGAIN IN PRYAER 1. High blood pressure and diabetes 2. Liver disease 3. Hiv/AIDS 4. chronic poverty syndrome 5. Mental depression and insanity 6. Barrenness and infertility 7. Terrible and unsolvable infections and inflammation,"alternative-cures,religious-practices","rfi,symptoms-severity,stigmatization,case-reporting,variants,conspiracy","alternative-cures,religious-practices","alternative-cures,religious-practices","rfi,symptoms-severity,stigmatization,case-reporting,variants,conspiracy",hiv,hiv,,,,neutral,negative,neutral,neutral,negative
cdb43c91-ae8b-46d8-a8ba-79bd19c83fa2,"BODILY BURDEN OF SEVEN YEARS LIFTED BY THE ANOINTING! On August 27, 2023, God Almighty manifested Himself powerfully in the life of Ngozi as she received prayer in The Arena Of Liberty. She had come to church using crutches and a lumbar corset, her body burdened by pain for the past seven years. For a long time, she kept using drugs and subjecting herself to all forms of treatment. Tired of trying to help herself, she had made her way to church in faith. “When the woman of God touched me, I felt something leave my body and since then I have not needed my walking aids,” Ngozi said while demonstrating her healing a week later. She advised people to take their issues to God. Her husband, Salvation, admitted his previous skepticism about miracles but glorified God for showing him the light. | Photos from TB Joshua Ministries's post","religious-practices,alternative-cures","rfi,treatment,case-reporting","treatment,religious-practices,alternative-cures","religious-practices,alternative-cures","rfi,treatment,case-reporting",unknown,,unknown,unknown,,negative,negative,,,
f8ad699e-5405-4473-b0e2-ff72536cd0eb,"Good evening sir pls post for me and hid my identity I really need advice my mother has been sick for Somthing only to later find out she is hiv positive so the hospital give her some drugs,so my boss where I work has been asking me what kind of sickness is wrong with my mother, which lied she has cancer,I am thire cook I cook for them and take care of their children,my family has told me I should not tell them that Dey will sack me You know the way all this big men behave I have to tell me boss is cancer which he told me last night that when I get home I should send him the drugs my mother use so he can at list help me get it I dnt know what to do the man and his wife has been a nice person to me he asked what kind of cancer I told him cancer of the lung which he was asking if my mother smoke I said no pls I am confused I dnt know which drugs to send to him","treatment,stigmatization,symptoms-severity","rfi,treatment,stigmatization,case-reporting,media-bias,conspiracy,symptoms-severity,capacity,medical-exploitation,variants,corruption,alternative-cures,bioweapon","treatment,stigmatization,symptoms-severity",,"rfi,case-reporting,media-bias,conspiracy,capacity,medical-exploitation,variants,corruption,alternative-cures,bioweapon",hiv,hiv,,,,negative,negative,,,
e058b7a9-8a83-4320-a380-60702a900d6f,"Taking the HPV vaccine should be on your to-do list. WHY? The HPV vaccine helps in preventing against several strains of HPV that causes most cancers including Cervical Cancer and Genital Warts and is available across all our Medical centres. We have the Cervarix Vaccine for females only, Gardasil 4 and 9 for both males and females. Kindly visit any MSI Nigeria Medical Centres near you to get the HPV vaccines or call us for free on 08000022252 for further enquiries. Our locations 👇: SURULERE: 105, Itire Road, Lawanson Surulere, Lagos. LEKKI: No. 1, Alhaji Prince Raufu Ishola Lemomu St, Greenville Estate, Off Agungi-Ajiran Road, Lekki, Lagos. ABUJA: 29, Ekukinam Street Utako, Abuja. BENIN: 13, Aideyan street off Ihama road, GRA Benin-City PORT HARCOURT: 25, Nsirim Road, Off Ikwerre Road, Port Harcourt. #MarieStopesNigeria #msinigeria #mariestopes #familyplanning #reproductivehealth","vaccine-efficacy,treatment,capacity,prevention-individual","rfi,vaccine-efficacy,treatment,prevention-collective,capacity,stigmatization,bioweapon,alternative-cures,prevention-individual","vaccine-efficacy,treatment,capacity,prevention-individual",,"rfi,prevention-collective,stigmatization,bioweapon,alternative-cures",hpv,hpv,,,,positive,positive,,,
74af4a6e-c377-4b58-b1b5-082b6617f614,"Amen 🙏🙏🙏 | When Hannah got pregnant & started vomiting every morning, peninnah thought it was malaria. May your miracle confuse your Enemies!",,"stigmatization,symptoms-severity,alternative-cures",religious-practices,,"stigmatization,symptoms-severity,alternative-cures",malaria,malaria,,,,neutral,neutral,,,
8f587bbe-efff-4e40-a764-1bd9ef84aede,"Her name is Happiness, but unfortunately she has never known happiness in life until GOD used Apostle chibuzor OPM to rescued her. Because both parents died in the village, hunger step in. She has to travel from her village in Akwa ibom to port harcourt without knowing anyone in port harcourt. As she arrived port harcourt. No place to sleep. She has to start sleeping under bridge by Agip junction. That first night 2 young men raped her under the bridge with knife and she later became pregnant. So with her pregnancy, she kept on sleeping under the bridge with cold. One day GOD remembered her using Apostle chibuzor to rescue her with her pregnancy. After her rescue, she was taken to OPM free specialist hospital to register her for antenatal care . During her medical test it was discovered that she is HIV positive. Those boys has infected her. And her pregnancy was already 9 months and she has never visited any hospital before while she was sleeping under the bridge. So because she did not take any drug to prevent mother to child transmission, it was discovered her baby also has HIV. So today mother and daughter has been placed on antiretroviral drugs and they are doing very well. Many people don’t know that antiretroviral drugs ( HIV DRUGS ) are 100 % free in all government hospitals. Below picture is Apostle Chibuzor celebrating her daughters birthday. And she is getting healthy and healthy everyday. With prayers, drugs and good food I believe the HIV in blood will soon disappear. It’s not her fault that her mother was raped by HIV boys.","treatment,capacity","treatment,capacity,bioweapon,rfi,religious-practices,case-reporting,alternative-cures,vaccine-side-effects","treatment,capacity,stigmatization",,"bioweapon,rfi,religious-practices,case-reporting,alternative-cures,vaccine-side-effects",hiv,hiv,,,,positive,positive,,,
0e799ea0-e30f-4fc3-8c83-b108d9a35f30,"FEDERAL MINISTRY OF HUMANITARIAN AFFAIRS AND POVERTY ALLEVIATION Date: 22nd August, 2023 PRESS RELEASE UNICEF TO COMMIT 270M USD TO INTEGRATE HUMANITARIAN RESPONSE AND EMERGENCIES IN NIGERIA The UNITED NATIONS CHILDREN’S FUND (UNICEF) has assured the Honourable Minister of Humanitarian Affairs and Poverty Alleviation, Dr Betta Edu, of their commitment to support the Humanitarian Response and Poverty Alleviation with 270M USD. They said this when the Country Representative of UNICEF, Christian Mundate, lead the Chief of Health & HIV/AIDS, Eduardo Celades, to the Honourable Minister in her office in Abuja. The UNICEF Chief also assured the Honourable Minister of technical support to build capacity of the Ministry’s staff as well as support the development of a Humanitarian Response Protocol for Nigeria to guide all Humanitarian Actors as this will facilitate effective coordination. In addition, they will support the establishment of a National Humanitarian Situation Room or Humanitarian Emergency Operation Centre (H-EOC) to monitor, mitigate and prevent Humanitarian Emergencies and build resilience in the system. Responding, the Honourable Minister, Dr. Betta Edu, informed the delegation that the Federal Government of Bola Ahmed Tinubu, GCFR, is committed to lifting 133 Million poor Nigerians out of poverty in a phased approach; especially, the 71 Million extremely poor Nigerians who leave under one dollar ninety-five cents a day. She charged UNICEF to also draw up plans towards supporting the FG on poverty alleviation. ”Time is of essence and we need to run at the speed of light to roll out social programs that will bring relieve to the burdens of the poor. Nigerians are eagerly waiting for full implementation of the renewed hope agenda, the time for intense action is now”. While she assured them of the commitment to transparency and accountability in all the processes of the Ministry, she told them that the engagement with partners like UNICEF Nigeria will continue until Government achieves its target. Rhoda Ishaku Iliya Deputy Director Information | Photos from Fed Min of Humanitarian Affairs, Disaster Management and Social Development's post",capacity,"treatment,rfi,bioweapon","treatment,capacity",capacity,"treatment,rfi,bioweapon",hiv,,hiv,hiv,,positive,positive,,,
