id,textTranslated.en,themeIdsReviewed,modelThemes,themeScores,falsePositives,falseScores
3efdad7a-0aac-4295-9e73-9ec30cea6cf6,COVID Is Back And It's Deadlier Than Before; Wear Double Face Masks —Nigerian Hospital Memo Reveals | Sahara Reporters https://bit.ly/3qLZyff:=:https://saharareporters.com/2023/08/25/covid-back-and-its-deadlier-wear-double-face-masks-nigerian-hospital-memo-reveals | Photos from Sahara Reporters's post,"['conspiracy', 'rfi']","['prevention-individual', 'stigmatization', 'prevention-individual', 'symptoms-severity', 'prevention-individual', 'case-reporting', 'rfi', 'medical-exploitation', 'prevention-individual', 'variants', 'media-bias']","[0.9984531998634338, 0.9770825505256653, 0.9767939448356628, 0.9751501083374023, 0.969345211982727, 0.9487073421478271, 0.9352322220802307, 0.9220038056373596, 0.9114689230918884, 0.9067974090576172, 0.8565718531608582]","['stigmatization', 'media-bias', 'medical-exploitation', 'symptoms-severity', 'case-reporting', 'prevention-individual', 'variants']","[0.9770825505256653, 0.8565718531608582, 0.9220038056373596, 0.9751501083374023, 0.9487073421478271, 0.9984531998634338, 0.9067974090576172]"
2edf9942-1284-4f9d-ad6b-00785c37edaf,"Di§turbing video of an HIV positive lady disclosing what she will do to the opposite g£nder in Ikorodu, Lagos",['stigmatization'],"['stigmatization', 'case-reporting', 'rfi', 'prevention-individual', 'variants', 'medical-exploitation', 'conspiracy', 'media-bias', 'prevention-individual', 'conspiracy', 'alternative-cures', 'symptoms-severity', 'rfi', 'variants', 'bioweapon', 'medical-exploitation', 'corruption', 'corruption', 'alternative-cures']","[0.9955723285675049, 0.9939354658126831, 0.9929743409156799, 0.9885274171829224, 0.9832876324653625, 0.9821559190750122, 0.9791918396949768, 0.9761457443237305, 0.9746963977813721, 0.9708111882209778, 0.9693725109100342, 0.9617534279823303, 0.9344881176948547, 0.8795889616012573, 0.8795469403266907, 0.8558196425437927, 0.8436815142631531, 0.8341160416603088, 0.8338026404380798]","['media-bias', 'alternative-cures', 'medical-exploitation', 'symptoms-severity', 'rfi', 'case-reporting', 'conspiracy', 'variants', 'prevention-individual', 'bioweapon', 'corruption']","[0.9761457443237305, 0.9693725109100342, 0.9821559190750122, 0.9617534279823303, 0.9929743409156799, 0.9939354658126831, 0.9791918396949768, 0.9832876324653625, 0.9885274171829224, 0.8795469403266907, 0.8436815142631531]"
ded0368c-5cf5-4df0-a20f-4aa7eb1f3ffa, | Papa why are u telling everybody that u have HIV AIOS instead of cancer? Well because don't want anybody to touch ur mother after my death Spyplaprar,['stigmatization'],"['conspiracy', 'rfi', 'conspiracy', 'stigmatization', 'medical-exploitation', 'variants', 'media-bias', 'media-bias', 'prevention-collective', 'alternative-cures', 'prevention-individual', 'case-reporting', 'variants', 'corruption', 'corruption', 'rfi', 'prevention-individual', 'prevention-individual', 'symptoms-severity', 'corruption', 'alternative-cures']","[0.9969313740730286, 0.9966440796852112, 0.99619460105896, 0.9957398176193237, 0.9934723377227783, 0.9852904677391052, 0.9825027585029602, 0.9789730310440063, 0.9781389832496643, 0.9715820550918579, 0.9693647027015686, 0.9677165150642395, 0.9655517339706421, 0.9522814750671387, 0.9512097239494324, 0.9469306468963623, 0.9395843744277954, 0.9357841610908508, 0.8517298698425293, 0.8177890181541443, 0.8054067492485046]","['media-bias', 'alternative-cures', 'medical-exploitation', 'symptoms-severity', 'rfi', 'conspiracy', 'case-reporting', 'variants', 'prevention-individual', 'corruption', 'prevention-collective']","[0.9825027585029602, 0.9715820550918579, 0.9934723377227783, 0.8517298698425293, 0.9966440796852112, 0.9969313740730286, 0.9677165150642395, 0.9852904677391052, 0.9693647027015686, 0.9522814750671387, 0.9781389832496643]"
6be8211d-33aa-4b88-a245-6828cb58fb4f,“I Am HIV Positive And I Will Spread It Round Lagos” — Nigerian Lady Resident In Ikorodu Vows | #IgbereTV,"['symptoms-severity', 'media-bias']","['conspiracy', 'stigmatization', 'symptoms-severity', 'prevention-individual', 'rfi', 'case-reporting', 'medical-exploitation', 'conspiracy', 'variants', 'variants', 'media-bias', 'bioweapon', 'religious-practices']","[0.9934290051460266, 0.9931034445762634, 0.9912367463111877, 0.9897060990333557, 0.9895001649856567, 0.9878302812576294, 0.9866583943367004, 0.9856298565864563, 0.9794636964797974, 0.9709619283676147, 0.9493776559829712, 0.9470968246459961, 0.8797670006752014]","['stigmatization', 'medical-exploitation', 'rfi', 'case-reporting', 'conspiracy', 'prevention-individual', 'variants', 'bioweapon', 'religious-practices']","[0.9931034445762634, 0.9866583943367004, 0.9895001649856567, 0.9878302812576294, 0.9934290051460266, 0.9897060990333557, 0.9794636964797974, 0.9470968246459961, 0.8797670006752014]"
17897e20-b639-4e43-affd-4cb364576606,"DID YOU KNOW? ( 7 WONDERFUL FOOD KNOWLEDGE ) ➖➖➖➖➖➖➖➖➖➖➖➖➖➖ 1. A company in Taiwan makes Dinnerware (plate) out of Wheat, so you can eat your plate after you are done with your meal. (Great initiative) 2. You can eat 24 karat Gold without falling ill. As pure Gold is chemically inert (inactive), it will pass through the body and will get eliminated as waste. (Great scientific knowledge) 3. Joe Metheny, the in famous serial killer from Baltimore, not only cooked his victims to eat himself, he also made Burgers with their remains and sold them to unsuspecting customers from a roadside food stand. (Very horrible and shocking) 4. If you make Ice Cubes with Tap water, they will be white, and if you use Boiled water, it will be transparent. (Wonderful knowledge) 5. The Ice Cream you see in ""ice cream"" advertisement (ads) is actually mashed potatoes, because they will not melt during the production. (Wonderful idea) 6. A new study said that the bacteria that cause decay, acne, tuberculosis and leprosy can be killed off by eating cashews. (Wonderful research) 7. Subway (An American fast food restaurant) is offering lifetime free sandwiches, if you change your name to ""Subway"". (Great initiative) | SUBWAY Subway is offering Lifetime Free Sandwiches if you change your name to ""Subway"". | Photos from Research and Creative Kitchen's post",['alternative-cures'],"['prevention-individual', 'prevention-individual', 'conspiracy', 'variants', 'prevention-collective', 'bioweapon', 'case-reporting', 'stigmatization', 'rfi', 'alternative-cures', 'symptoms-severity', 'medical-exploitation', 'media-bias']","[0.9984763860702515, 0.9924795627593994, 0.9819552302360535, 0.9763348698616028, 0.9562478065490723, 0.9470239877700806, 0.936858057975769, 0.91802579164505, 0.9170247316360474, 0.9143919348716736, 0.8931829929351807, 0.8789106607437134, 0.8142009377479553]","['stigmatization', 'media-bias', 'medical-exploitation', 'symptoms-severity', 'bioweapon', 'conspiracy', 'case-reporting', 'variants', 'prevention-individual', 'rfi', 'prevention-collective']","[0.91802579164505, 0.8142009377479553, 0.8789106607437134, 0.8931829929351807, 0.9470239877700806, 0.9819552302360535, 0.936858057975769, 0.9763348698616028, 0.9984763860702515, 0.9170247316360474, 0.9562478065490723]"
4455532f-ad4e-4d18-a175-3c7f12c01b0f,"End to malaria, typhoid and hapatitis B 08120004412",['alternative-cures'],"['variants', 'treatment', 'prevention-collective', 'alternative-cures', 'prevention-individual', 'stigmatization', 'vaccine-efficacy', 'case-reporting', 'alternative-cures', 'rfi', 'medical-exploitation', 'medical-exploitation']","[0.9722384810447693, 0.958644449710846, 0.941261887550354, 0.9355580806732178, 0.9210923910140991, 0.9080124497413635, 0.83688884973526, 0.8351269960403442, 0.8307977914810181, 0.8242484331130981, 0.8104334473609924, 0.8036189079284668]","['stigmatization', 'medical-exploitation', 'case-reporting', 'rfi', 'treatment', 'prevention-individual', 'variants', 'vaccine-efficacy', 'prevention-collective']","[0.9080124497413635, 0.8104334473609924, 0.8351269960403442, 0.8242484331130981, 0.958644449710846, 0.9210923910140991, 0.9722384810447693, 0.83688884973526, 0.941261887550354]"
65594eba-c64b-4a2e-9ede-dbde09df4007,"Pineapple is sweet and tangy, but do you know that it also offers a host of health benefits? In this writeup, I'll explore 7 ways that eating pineapple can be good for your body. #1 Pineapple is rich in Nutrients especially Vit B6 and Vit C #2 Pineapple contains bromelain, an enzyme that has anti-inflammatory properties. This can be beneficial for conditions like arthritis, asthma, and other inflammatory conditions. #3 Consuming Pineapple eases symptoms of digestive issues like bloating, constipation, and diarrhea. #4 Pineapple boosts the immune system because it is super rich in Vitamin C. #5 Pineapple contains beta-carotene, a nutrient that is essential for good eye health. Beta-carotene is converted into vitamin A in the body, which is necessary for maintaining healthy eyesight. #6 Aids weight loss because it is low in calories and high in fiber. #7 Pineapple may reduce your risk of cancer. The antioxidants and enzymes in it can help protect against cancer by reducing inflammation and cell damage caused by free radicals. Extra: Pineapple speeds up recovery after surgery In conclusion, eating pineapple is not only a delicious way to satisfy your sweet tooth, but it can also offer a range of health benefits. You may seriously want to consider adding it to your diet.","['prevention-individual', 'alternative-cures']","['prevention-individual', 'treatment', 'prevention-individual', 'prevention-collective', 'rfi', 'alternative-cures']","[0.9974459409713745, 0.9807804226875305, 0.9610688090324402, 0.9233789443969727, 0.8235494494438171, 0.8113902807235718]","['prevention-collective', 'rfi', 'treatment']","[0.9233789443969727, 0.8235494494438171, 0.9807804226875305]"
71fda558-673a-4ada-a406-5efb4521b649,"Remember this declaration I made ""God will turn you- an ordinary person to a person of royalty. You will live and see the end of the virus"". We saw Covid-19 and we are still here. Therefore, every setback shall set you up for a miracle.",['religious-practices'],"['religious-practices', 'prevention-individual', 'variants', 'religious-practices', 'stigmatization', 'case-reporting', 'prevention-individual', 'rfi', 'medical-exploitation', 'prevention-collective', 'alternative-cures', 'prevention-individual', 'symptoms-severity']","[0.9984644055366516, 0.9856526851654053, 0.9713113903999329, 0.9476683735847473, 0.9474092721939087, 0.9118615388870239, 0.8956339359283447, 0.8819342255592346, 0.8654781579971313, 0.8602043986320496, 0.8587280511856079, 0.8338133096694946, 0.8070106506347656]","['stigmatization', 'alternative-cures', 'medical-exploitation', 'symptoms-severity', 'case-reporting', 'rfi', 'variants', 'prevention-individual', 'prevention-collective']","[0.9474092721939087, 0.8587280511856079, 0.8654781579971313, 0.8070106506347656, 0.9118615388870239, 0.8819342255592346, 0.9713113903999329, 0.9856526851654053, 0.8602043986320496]"
c1d06261-f158-4ef1-af00-39fe328101d7,You have no AIDS❌ You have no Cancer❌ You have no Diabetes❌ You have no Disability❌ Why don't you tell God thanks🥺🙏💯,,"['prevention-individual', 'rfi', 'prevention-individual', 'religious-practices', 'medical-exploitation', 'alternative-cures', 'prevention-collective', 'rfi', 'stigmatization', 'alternative-cures']","[0.9914639592170715, 0.9793002009391785, 0.9662058353424072, 0.9578769207000732, 0.9146308302879333, 0.8934835195541382, 0.8893553018569946, 0.8804222941398621, 0.855731189250946, 0.8192660808563232]","['medical-exploitation', 'stigmatization', 'rfi', 'alternative-cures', 'prevention-individual', 'prevention-collective', 'religious-practices']","[0.9146308302879333, 0.855731189250946, 0.9793002009391785, 0.8934835195541382, 0.9914639592170715, 0.8893553018569946, 0.9578769207000732]"
70e553e0-b36a-458a-a1bb-5524808ea4c5,"INFLAMMATORY DISEASES SUFFERERS 👇👇👇 1. Asthma 2. Ulcer 3. Arthritis 4. Bronchitis 5. Pneumonia 6. Hemorrhoids/piles 7. Tuberculosis, etc Can I walk us across this bridge, Africans? We are going to put our hands in mine and am going to walk us out of this captivity, across this bridge. What do you need to do? 1. Trace the wrong lifestyles you practise 2. Stop them 3. Detoxification 4. Never return to your vomit For Nigerians, Get your turmeric from hausa men, in your local market ( avoid packaged turmeric please ). Watch video for remaining details. If you need Ndcl's guidance on your healing journey, from beginning to the end, my consultant Chike, is waiting for you on whatsapp via the WhatsApp button attached to this post ( not free this time please ).",['alternative-cures'],"['prevention-individual', 'rfi', 'medical-exploitation', 'prevention-collective', 'rfi', 'alternative-cures', 'prevention-individual', 'variants', 'stigmatization', 'alternative-cures', 'alternative-cures', 'case-reporting', 'symptoms-severity', 'prevention-collective', 'bioweapon', 'religious-practices', 'media-bias']","[0.9985966682434082, 0.9980562925338745, 0.9972134232521057, 0.9963819980621338, 0.9959135055541992, 0.9936436414718628, 0.9871892929077148, 0.9792510867118835, 0.9715372920036316, 0.9681598544120789, 0.9405267238616943, 0.9335259199142456, 0.9057167172431946, 0.8812937140464783, 0.8728105425834656, 0.8549700379371643, 0.8205631971359253]","['stigmatization', 'media-bias', 'medical-exploitation', 'symptoms-severity', 'rfi', 'case-reporting', 'bioweapon', 'prevention-individual', 'variants', 'prevention-collective', 'religious-practices']","[0.9715372920036316, 0.8205631971359253, 0.9972134232521057, 0.9057167172431946, 0.9980562925338745, 0.9335259199142456, 0.8728105425834656, 0.9985966682434082, 0.9792510867118835, 0.9963819980621338, 0.8549700379371643]"
8a3f2d40-10b6-4044-867e-13bd26023ff7,"Caregivers play a crucial role in preventing and treating malaria. By using insecticide-treated bed nets and seeking prompt medical attention for fever cases, caregivers can protect their families from malaria. Sleep inside a mosquito net every night to prevent malaria. #ZeroMalariaStartsWithMe #ActNow #ActAgainstMalaria | Photos from Breakthrough ACTION-Nigeria's post",['prevention-individual'],"['prevention-individual', 'prevention-collective', 'alternative-cures', 'rfi', 'prevention-individual', 'rfi', 'bioweapon', 'bioweapon', 'capacity', 'alternative-cures', 'case-reporting', 'religious-practices', 'alternative-cures', 'symptoms-severity', 'treatment']","[0.9971200823783875, 0.9966109395027161, 0.995726466178894, 0.99373459815979, 0.9934984445571899, 0.9875612854957581, 0.9744164347648621, 0.9247264266014099, 0.8666307926177979, 0.8596009016036987, 0.8595409393310547, 0.843351423740387, 0.8388970494270325, 0.8320708274841309, 0.804709792137146]","['alternative-cures', 'symptoms-severity', 'rfi', 'bioweapon', 'case-reporting', 'capacity', 'treatment', 'prevention-collective', 'religious-practices']","[0.995726466178894, 0.8320708274841309, 0.99373459815979, 0.9744164347648621, 0.8595409393310547, 0.8666307926177979, 0.804709792137146, 0.9966109395027161, 0.843351423740387]"
bd15b800-2633-428b-81e0-be0f5b716210,"He said they did about five tests.. The post is for an HIV patient. | Why not try another hospital 13:29 At least 3 tests and see 11:29� We tested about five times, all showed the same You 13:32 Where do I find her? By God, I don't know.. and I don't suspect her truth. 13:33 The power of God 14:12✓ Then God is a gift 14:12✓",,"['rfi', 'religious-practices', 'rfi', 'case-reporting', 'prevention-individual', 'prevention-individual', 'alternative-cures', 'variants', 'prevention-collective', 'alternative-cures', 'stigmatization', 'medical-exploitation']","[0.9975783824920654, 0.9974634647369385, 0.9949873685836792, 0.994459331035614, 0.9894917011260986, 0.9318897128105164, 0.9294549226760864, 0.913377583026886, 0.8824297785758972, 0.880445122718811, 0.8538597226142883, 0.801730215549469]","['stigmatization', 'alternative-cures', 'medical-exploitation', 'case-reporting', 'rfi', 'prevention-individual', 'variants', 'prevention-collective', 'religious-practices']","[0.8538597226142883, 0.9294549226760864, 0.801730215549469, 0.994459331035614, 0.9975783824920654, 0.9894917011260986, 0.913377583026886, 0.8824297785758972, 0.9974634647369385]"
